label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time,my_track,1151300.0,5,1,12.7688,5.7094,3.1415,1.8207,4.54,1.9574,4.5497,694.0,792.0,11508,0.0,99.9,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=100,Phase 1: One-at-a-time,my_track,1142900.0,6,0,20.3088,6.2209,3.1414,1.2214,5.89,1.4698,3.7375,699.0,826.5,11424,0.2,99.8,OK,100,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=200,Phase 1: One-at-a-time,my_track,68300.0,6,0,3.0902,0.7723,2.8902,1.5624,5.85,3.254,4.1691,666.9,1002.8,678,0.4,99.0,OK,200,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=1000,Phase 1: One-at-a-time,my_track,1141800.0,5,1,8.9242,4.2648,3.1411,1.3111,4.43,1.2974,3.4685,701.8,878.5,11413,0.0,99.9,OK,1000,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=2000,Phase 1: One-at-a-time,my_track,1101300.0,5,1,21.8487,6.9928,3.1415,1.6291,4.85,2.3148,4.0728,698.6,837.4,11008,0.0,99.9,OK,2000,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=5000,Phase 1: One-at-a-time,my_track,112.47,4,2,0.2938,0.2819,0.856,0.8313,1.04,2.1344,2.287,679.4,1571.4,0,0.0,100.0,OK,5000,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=100,Phase 1: One-at-a-time,my_track,1163800.0,5,1,17.4485,6.558,3.1413,1.501,4.63,2.7888,4.8865,709.6,957.0,11633,0.0,99.9,OK,500.0,100,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=500,Phase 1: One-at-a-time,my_track,1073600.0,6,0,14.3499,6.5676,3.141,1.3917,5.55,2.4096,4.4231,719.9,1049.5,10731,0.2,99.0,OK,500.0,500,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=2000,Phase 1: One-at-a-time,my_track,902800.0,6,0,8.9227,2.2243,3.1411,1.5698,5.02,1.671,3.922,716.2,1039.0,9023,0.0,99.9,OK,500.0,2000,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
